spotify_id,name,followers,popularity,genres,chart_hits
5CCwRZC6euC8Odo6y9X8jr,Rita Ora,7592797.0,73,"['dance pop', 'edm', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']","['us (6)', 'gb (9)', 'au (8)', 'at (8)', 'be (7)', 'bo (2)', 'br (5)', 'bg (9)', 'ca (8)', 'co (1)', 'cy (5)', 'cz (8)', 'dk (7)', 'do (1)', 'sv (1)', 'ee (11)', 'fi (9)', 'fr (6)', 'de (9)', 'gr (8)', 'gt (3)', 'hn (1)', 'hk (8)', 'hu (11)', 'is (7)', 'in (2)', 'id (4)', 'ie (9)', 'il (3)', 'it (6)', 'jp (4)', 'lv (9)', 'lt (11)', 'lu (7)', 'my (8)', 'mt (8)', 'mx (2)', 'nl (7)', 'nz (7)', 'no (9)', 'pa (3)', 'py (1)', 'ph (8)', 'pl (7)', 'pt (7)', 'ro (4)', 'ru (1)', 'sg (8)', 'sk (9)', 'za (1)', 'es (4)', 'se (6)', 'ch (9)', 'tw (11)', 'th (5)', 'tr (6)', 'ua (1)', 'ae (1)', 'uy (2)', 'vn (3)']"
7zFBW2JxM4bgTTKxCRcS8Q,Hiphop Tamizha,5882014.0,65,"['desi hip hop', 'tamil hip hop', 'tamil pop']",['in (4)']
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,15862633.0,86,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']","['us (4)', 'gb (29)', 'ar (16)', 'au (13)', 'at (2)', 'be (16)', 'bo (7)', 'br (11)', 'bg (25)', 'ca (4)', 'cl (7)', 'co (8)', 'cr (5)', 'cy (8)', 'cz (13)', 'dk (2)', 'do (1)', 'ec (6)', 'eg (2)', 'sv (3)', 'ee (12)', 'fi (4)', 'fr (2)', 'de (1)', 'gr (17)', 'gt (1)', 'hn (3)', 'hk (1)', 'hu (16)', 'is (5)', 'id (5)', 'ie (27)', 'il (15)', 'it (4)', 'lv (14)', 'lt (17)', 'lu (3)', 'my (7)', 'mt (12)', 'mx (8)', 'nl (3)', 'nz (10)', 'ni (2)', 'no (2)', 'pa (2)', 'py (5)', 'pe (4)', 'ph (2)', 'pl (19)', 'pt (23)', 'ro (16)', 'sa (2)', 'sg (4)', 'sk (15)', 'es (7)', 'ch (2)', 'tw (2)', 'th (5)', 'tr (11)', 'ua (4)', 'ae (4)', 'uy (5)', 'vn (1)']"
378dH6EszOLFShpRzAQkVM,Lindsey Stirling,1943879.0,64,"['bow pop', 'pop violin']",['at (1)']
51TXQniEQkYh89tfLjiuSy,Ant Wan,130309.0,64,"['swedish drill', 'swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']","['no (1)', 'se (69)']"
6n28c9qs9hNGriNa72b26u,PNAU,188737.0,75,"['alternative dance', 'aussietronica', 'australian dance', 'australian electropop']","['au (4)', 'nz (2)']"
4xnihxcoXWK3UqryOSnbw5,Sasha Alex Sloan,1174594.0,70,"['alt z', 'electropop', 'pop']","['us (1)', 'ca (1)', 'my (3)', 'ro (1)', 'sg (3)', 'tw (2)', 'th (1)', 'vn (2)']"
3AIPhNgeF9S1Kyg9Yy3UQW,Dani Martín,794946.0,64,"['latin pop', 'spanish pop', 'spanish pop rock']",['es (21)']
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,26039960.0,87,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']","['us (40)', 'gb (22)', 'ar (5)', 'au (19)', 'at (9)', 'be (14)', 'bo (4)', 'br (7)', 'bg (29)', 'ca (31)', 'cl (5)', 'co (5)', 'cr (5)', 'cy (15)', 'cz (10)', 'dk (7)', 'do (8)', 'ec (4)', 'eg (1)', 'sv (5)', 'ee (15)', 'fi (13)', 'fr (5)', 'de (11)', 'gr (23)', 'gt (3)', 'hn (6)', 'hk (11)', 'hu (14)', 'is (12)', 'in (2)', 'id (1)', 'ie (17)', 'il (6)', 'it (5)', 'jp (1)', 'lv (13)', 'lt (15)', 'lu (14)', 'my (11)', 'mt (12)', 'mx (3)', 'ma (2)', 'nl (10)', 'nz (18)', 'ni (4)', 'no (13)', 'pa (6)', 'py (4)', 'pe (3)', 'ph (9)', 'pl (10)', 'pt (13)', 'ro (16)', 'sa (4)', 'sg (12)', 'sk (17)', 'za (11)', 'kr (2)', 'es (5)', 'se (13)', 'ch (16)', 'tw (13)', 'th (6)', 'tr (8)', 'ae (4)', 'uy (4)', 'vn (8)']"
7qAoXV4U0qDxQAUqhszjAA,Manuel Carrasco,1892194.0,65,"['carnaval cadiz', 'latin pop', 'pop flamenco', 'spanish pop']","['co (1)', 'cr (1)', 'do (1)', 'ec (1)', 'sv (1)', 'gt (1)', 'hn (1)', 'pa (1)', 'es (18)']"
4XWaILHqySwH1y6LhlYcsb,ilyTOMMY,318704.0,61,"['aesthetic rap', 'emo rap', 'sad lo-fi', 'sad rap', 'viral rap']","['ee (1)', 'lv (1)', 'lt (1)']"
3eCd0TZrBPm2n9cDG6yWfF,DEAN,1269150.0,63,"['k-pop', 'korean r&b']","['hk (1)', 'my (1)', 'kr (2)', 'tw (3)', 'th (1)', 'vn (1)']"
1GDbiv3spRmZ1XdM1jQbT7,Natti Natasha,8355571.0,76,"['latin pop', 'rap latina', 'reggaeton', 'trap latino']","['us (1)', 'ar (13)', 'bo (17)', 'cl (15)', 'co (11)', 'cr (8)', 'do (19)', 'ec (15)', 'sv (11)', 'gr (1)', 'gt (12)', 'hn (10)', 'hu (1)', 'it (2)', 'jp (1)', 'lu (1)', 'mt (2)', 'mx (7)', 'nl (1)', 'ni (9)', 'pa (16)', 'py (15)', 'pe (16)', 'pt (1)', 'ro (1)', 'sk (1)', 'es (15)', 'se (1)', 'ch (2)', 'uy (17)']"
2AdUWxNm17kkGZiPGuorth,MC Mari,60458.0,65,"['arrochadeira', 'brega funk', 'funk carioca']",['br (1)']
7rz6ZZErn5YFDteXKhyf3g,Disiz,253469.0,62,"['french hip hop', 'pop urbaine', 'rap conscient']","['be (1)', 'fr (8)', 'lu (1)', 'ma (1)', 'ch (1)']"
3IaKn0ExWTMPqa0mscUYw3,Only The Family,272267.0,62,"['chicago rap', 'rap', 'southern hip hop', 'trap']",['us (2)']
4XpUIb8uuNlIWVKmgKZXC0,ZICO,1188578.0,63,"['k-pop', 'k-rap', 'korean r&b']","['hk (3)', 'id (2)', 'my (2)', 'ph (1)', 'sg (3)', 'kr (5)', 'tw (3)', 'th (3)', 'vn (2)']"
6U3ybJ9UHNKEdsH7ktGBZ7,JID,987676.0,80,"['hip hop', 'rap']","['us (4)', 'ca (2)', 'za (1)']"
4ZwOlDVAGXQo66ykbLQ8dP,Lamin,7645.0,61,['danish pop'],['dk (25)']
06nsZ3qSOYZ2hPVIMcr1IN,J.J. Cale,650504.0,61,"['blues', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",['fr (1)']
1vSN1fsvrzpbttOYGsliDr,Tori Kelly,2052997.0,67,['dance pop'],"['us (4)', 'gb (1)', 'au (3)', 'be (1)', 'bg (1)', 'ca (6)', 'cz (1)', 'dk (1)', 'ee (1)', 'fi (1)', 'fr (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'is (1)', 'id (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'my (2)', 'mt (1)', 'nl (3)', 'nz (4)', 'no (2)', 'ph (2)', 'pl (1)', 'pt (1)', 'sg (1)', 'sk (1)', 'se (2)', 'ch (1)', 'tw (1)', 'tr (1)']"
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,7604808.0,76,"['contemporary country', 'country', 'country road']","['us (13)', 'bg (1)', 'ca (7)', 'cz (1)', 'ee (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'is (1)', 'lv (1)', 'lt (1)', 'my (2)', 'mt (1)', 'ph (2)', 'pl (1)', 'sg (2)', 'sk (1)', 'ch (1)', 'tw (1)']"
